country_code,data_level,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46
SRB,national,,,,,,,,,,,,,,,,,,,2346.2732,2408.0835,2513.6492,2593.7437,2358.5554,2486.2383,2528.5354,2763.7917,2844.1572,3213.0181,3298.8289,3660.698,3958.0972,4153.5171,4030.5969,4022.2319,4111.4473,4061.344,4012.1077,4027.01,4021.2017,4118.7466,4232.187,4387.9443,4568.4692,4479.0376
SSD,national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1234.1207,1281.9661,1278.9181,1235.2004,1255.7639,1214.3091,1024.0498,,,,,,
SUR,national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4550.356,,,,,
SVK,national,,,,,,,,,,,,,,,,,4454.4214,4480.8164,4708.7607,5065.4463,5245.7588,5498.5742,5457.1318,5602.5366,5910.2583,6247.0317,6306.9482,6766.7915,7071.542,7517.915,8107.0381,8668.4316,8641.8682,8703.5605,8525.7559,8545.416,8435.4707,8585.5049,8814.415,9145.1729,9553.1875,9929.5771,10181.488,10070.311
SVN,national,,,,,,,,,,,,,,7077.1021,6297.873,6077.4771,6938.5303,7226.0068,7881.5908,8103.5747,8345.8936,8607.251,9170.2656,9131.5596,9377.5645,9589.9648,9920.0215,10165.09,10357.161,10457.387,11076.939,11376.771,11508.165,11569.708,11637.29,11358.536,10896.617,11062.671,11278.593,11771.675,11987.898,12372.281,12876.094,11964.802
SWE,national,14269.854,14128.778,14436.328,14291.792,14471.394,14594.502,14261.403,14504.418,14860.635,15535.776,16259.279,16646.912,16715.143,16476.773,16401.559,16054.351,15499.416,15666.128,15731.038,15991.276,16471.098,17011.889,17690.025,18619.285,18726.184,19087.84,19329.037,19807.035,20349.75,20841.357,21512.35,21434.783,21473.568,22178.943,22450.219,22447.74,22657.531,23079.656,23733.291,23976.207,24271.916,24435.316,24363.068,23046.953
SWZ,national,,,,1634.9038,1447.7164,1558.1765,1504.8922,1464.0787,1276.8146,1018.8987,1004.7575,824.57593,858.32953,1039.99,1060.083,1100.4539,1201.8042,1028.9631,1263.7769,1399.3734,1386.3667,1459.561,1510.9707,1816.8463,1834.8986,1846.6368,1836.3075,1976.0635,2184.4565,2269.7515,2271.6077,2267.7751,2231.2839,2364.1367,2474.7998,2477.4177,2504.8633,2518.0959,2462.6875,2386.1238,2487.7114,2493.0334,2433.0261,
SYC,national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6593.2632,5009.1558,8044.2119,7945.3721,8486.7734,9128.6621,,,
TCD,national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.57706,480.52847,516.8504,532.33649,532.34509,559.68787,588.83118,608.92212,568.97882,526.55719,511.62064,499.85794,491.94434,479.03207
TGO,national,317.50742,281.60947,302.20154,315.13092,335.03336,348.04602,313.76361,347.68759,398.7912,353.91629,327.18234,377.7597,374.71661,351.26028,368.05841,379.18192,285.78613,298.22568,319.85892,397.59909,416.5051,421.02808,414.89139,393.38776,384.25653,391.28571,402.42505,386.27026,360.56226,366.96869,380.89847,382.09409,384.03586,388.76404,387.85336,383.30774,393.89801,402.55701,409.65283,413.86188,416.95242,418.06879,419.15811,407.22882
THA,national,815.28528,847.66565,890.38763,919.54865,921.216,924.15942,976.11456,1001.0671,997.2373,1014.092,1082.2286,1156.673,1265.9817,1409.1647,1468.0602,1579.7813,1697.3148,1814.2778,1944.9304,2020.3048,1968.3636,1746.4006,1796.5959,1903.0476,1996.6407,2103.3293,2241.0298,2391.0005,2475.4133,2529.4214,2545.2717,2603.6633,2567.291,2694.0173,2730.2859,2916.7698,2931.2651,2934.2256,2998.5579,3073.4568,3157.4436,3291.5142,3412.0227,3370.3604
TJK,national,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.96228,,,,,
TLS,national,,,,,,,,,,,,,,,,,,,,,,,,847.59985,942.54492,905.54913,822.31787,818.30023,786.86743,679.82648,705.8266,653.99097,726.80737,741.10114,736.99866,747.4375,772.08752,800.65204,775.78949,795.63269,804.55664,802.0766,814.44629,
TUN,national,992.4198,1024.3071,1060.7769,1165.8531,1215.0333,1210.1156,1226.0573,1260.4882,1253.2489,1242.7914,1231.4047,1222.6366,1177.1002,1254.4313,1242.4092,1298.8422,1313.929,1328.3409,1344.8042,1382.238,1424.8215,1480.1512,1549.0029,1600.3129,1757.8831,1805.2023,1874.1038,1956.0038,2032.9919,2104.0544,2197.48,2278.7529,2335.3071,2409.5632,2483.6567,2567.7695,2618.1953,2697.7195,2754.2712,2807.9114,2842.127,2872.6631,2900.3022,
TUR,national,,,,,,,,,,,3286.4038,3265.4221,3174.4761,3528.6606,3536.1709,3593.6687,3834.731,3573.6099,3715.23,3966.9829,4232.1226,4209.9214,4129.5034,4251.8125,3908.2119,4003.9143,4267.5723,4611.2939,4837.9829,4953.2046,5152.7036,5105.8223,4856.8623,5307.0698,5864.5454,5950.7266,6291.8428,6379.0078,6606.1465,6744.5532,7030.7241,6962.6606,6978.6509,7123.6104
TZA,national,,,,,,,,,,,,,,377.37915,372.23621,360.31375,354.69467,349.08615,353.54874,368.96912,391.48434,436.93591,447.56857,441.97519,443.1915,456.36255,452.39575,466.36707,492.17505,523.49384,536.91803,522.05975,510.92538,563.23083,607.94873,573.19043,579.37042,581.237,605.36798,600.25958,595.84595,619.32629,620.13721,607.98029
